61.74,61.41,61.18,61.22,61.27,61.19,61.00,60.51,61.24,61.25,61.41,62.08,61.66,61.40,61.50,61.43
2021-8-20 0:0:0,61.54,61.37,61.08,60.78,60.30,60.28,60.58,60.42,60.56,61.01,60.31,60.49,60.84,60.73,60.90,60.74,59.98,59.85,59.89,59.35,59.71,59.47
2021-8-20 0:0:1,59.44,59.69,59.13,59.41,59.30,58.89,59.43,59.21,59.36,60.17,59.80,59.75,59.80,59.39,60.07,60.34,60.15,60.83,60.38,60.00,60.96,60.53
2021-8-20 0:0:2,60.98,61.80,61.04,60.77,60.96,60.60,61.12,61.00,60.49,60.38,60.17,60.59,61.00,61.05,60.99,61.08,60.87,61.51,62.06,62.21,62.30
2021-8-20 0:0:3,62.58,62.72,63.13,63.45,63.43,63.44,63.41,64.03,64.64,65.41,66.04,66.01,66.10,66.55,67.30,68.34,69.33,69.39,69.53,69.60,69.16,69.30
2021-8-20 0:0:4,69.76,69.49,69.27,69.25,68.13,67.15,66.26,65.18,64.50,64.29,64.72,64.91,65.02,65.26,65.50,65.47,66.16,66.74,66.58,66.66,66.19,65.96
2021-8-20 0:0:5,65.50,65.23,65.29,65.26,64.70,64.94,64.91,65.26,65.35,65.11,64.99,64.30,64.07,63.72,63.33,63.57,64.41,64.51,64.61,64.23,64.03,63.97
2021-8-20 0:0:7,63.78,63.33,62.77,62.14,61.86,61.91,61.84,62.39,62.61,62.49,62.83,62.14,62.00,62.34,61.92,62.55,62.59,62.17
2021-8-20 0:0:8,62.15,61.62,61.26,61.60,61.50,61.91,62.38,61.97,62.29,61.89,61.73,62.25,62.59,63.40,64.08,64.04,63.69,64.05,63.39,63.71,64.48,63.98
2021-8-20 0:0:9,64.33,63.90,63.69,63.64,63.78,64.02,63.93,64.33,64.12,64.22,64.17,64.48,64.74,65.29,65.84,66.16,67.07,67.41,67.47,67.48,67.18,67.47
2021-8-20 0:0:10,67.87,67.91,68.30,68.28,68.99,69.51,69.56,69.54,69.15,69.35,69.27,68.95,68.82,68.21,68.11,68.09,67.55,66.83,66.21,65.68,64.95
2021-8-20 0:0:11,64.38,63.74,63.53,63.16,63.44,63.54,62.81,62.81,62.26,61.62,61.68,61.67,61.83,62.40,62.72,62.90,62.40,62.04,62.25,62.06,62.28,62.56
2021-8-20 0:0:12,62.15,62.17,62.32,61.81,61.94,61.97,61.66,62.20,61.94,62.08,62.59,62.66,62.59,62.77,62.76,62.39,62.61,62.44,62.38,62.71,62.84,63.10
2021-8-20 0:0:13,63.69,63.91,64.26,64.56,64.88,65.30,65.32,65.14,64.73,64.24,63.93,63.63,62.73,62.43,62.28,62.42,62.68,61.98,61.60,60.81,60.50,60.74
2021-8-20 0:0:14,60.93,61.05,61.22,60.90,60.21,60.56,60.34,60.77,61.49,60.83,61.16,61.27,60.76,61.12,61.02,61.11,61.36,61.41,61.50,61.37,60.87
2021-8-20 0:0:15,60.71,60.33,60.24,61.02,60.64,61.06,61.44,60.78,61.32,60.92,60.53,60.59,60.27,60.32,60.41,60.29,60.16,60.01,59.52,59.33,59.39,59.21
2021-8-20 0:0:16,59.81,60.44,60.49,60.64,60.53,60.18,60.28,60.44,59.97,60.42,60.03,60.01,60.63,60.00,60.37,60.42,60.36,60.95,60.89,60.36,60.46,60.06
2021-8-20 0:0:17,59.69,60.25,59.98,59.93,60.51,60.16,59.84,59.93,59.74,60.10,60.57,60.38,60.46,60.30,60.09,60.35,60.22,60.18,60.07,59.63,59.47,59.26
2021-8-20 0:0:18,59.00,59.21,59.33,59.51,59.38,59.32,59.43,59.63,59.79,60.15,60.19,60.15,61.12,61.44,61.67,62.15,61.54,61.20,61.43,61.06,61.60,61.66
2021-8-20 0:0:19,60.92,60.77,60.34,60.34,61.40,62.16,62.59,63.25,63.04,62.84,62.28,62.35,62.29,62.36,63.03,63.33,63.10,63.08,63.12,63.02,63.50,63.41
2021-8-20 0:0:20,63.21,62.92,63.14,63.88,64.68,64.90,65.33,65.47,65.39,65.66,65.20,65.06,64.68,64.50,64.55,64.22,64.57,64.77,64.71,65.10,65.06,65.26
2021-8-20 0:0:21,65.24,65.08,64.74,64.08,64.29,64.50,65.01,65.96,66.41,65.92,65.78,65.79,65.56,66.78,67.28,66.98,67.05,66.31,66.14,66.46,66.72,67.57
2021-8-20 0:0:22,67.89,68.32,68.28,67.03,66.72,65.71,64.83,65.09,64.08,63.95,64.18,63.91,63.96,63.95,63.84,63.67,64.21,63.81,63.40,63.79,63.86,64.92
2021-8-20 0:0:23,65.35,65.24,65.73,65.00,65.34,65.72,65.24,66.27,65.64,64.58,64.53,63.43,63.76,64.25,63.51,64.44,64.49,64.88,65.38,64.27,64.19,63.69
2021-8-20 0:0:24,62.83,62.45,62.14,61.44,62.56,62.55,62.35,63.25,62.41,62.96,62.47,61.51,62.06,61.61,62.32,63.23,62.14,62.05,62.10,61.36,62.09
2021-8-20 0:0:25,61.97,61.23,60.94,60.95,61.03,61.47,62.02,62.25,62.73,62.59,62.46,62.36,62.37,62.56,62.54,62.34,61.79,61.30,61.28,61.09,61.05,60.74
2021-8-20 0:0:26,60.67,60.43,60.61,61.00,61.04,60.74,60.78,60.65,60.47,60.86,60.76,61.37,61.43,61.09,60.48,59.84,59.73,60.20,60.51,60.43,60.48,59.85
2021-8-20 0:0:27,59.65,60.18,59.64,60.19,60.10,60.31,61.01,60.70,61.25,60.85,60.47,60.51,60.60,60.48,61.05,60.83,60.49,60.37,60.16,60.08,59.78,59.48
2021-8-20 0:0:28,59.38,60.07,59.95,60.29,60.11,59.69,59.95,59.68,59.37,59.46,59.59,59.38,59.67,59.85,59.48,59.93,59.79,59.76,59.90,60.27,60.68
