Hour,Date,mean_sec
12:00:00 AM,08/12/21,55.21468022
01:00:00 AM,08/12/21,54.946526
02:00:00 AM,08/12/21,54.93352206
03:00:00 AM,08/12/21,54.89749156
04:00:00 AM,08/12/21,55.13763138
05:00:00 AM,08/12/21,54.96028914
06:00:00 AM,08/12/21,53.50019388
07:00:00 AM,08/12/21,53.26481239
08:00:00 AM,08/12/21,56.85649947
09:00:00 AM,08/12/21,55.84491581
10:00:00 AM,08/12/21,53.06042764
11:00:00 AM,08/12/21,52.49815143
12:00:00 PM,08/12/21,56.35899754
01:00:00 PM,08/12/21,55.50377315
02:00:00 PM,08/12/21,54.295674
03:00:00 PM,08/12/21,53.85784211
04:00:00 PM,08/12/21,53.82737691
05:00:00 PM,08/12/21,53.70765134
06:00:00 PM,08/12/21,58.1798992
07:00:00 PM,08/12/21,55.10230298
08:00:00 PM,08/12/21,55.55261587
09:00:00 PM,08/12/21,54.18623661
10:00:00 PM,08/12/21,54.06183971
11:00:00 PM,08/12/21,54.29384408
12:00:00 AM,08/13/21,54.45995325
01:00:00 AM,08/13/21,54.20470627
02:00:00 AM,08/13/21,54.02415542
03:00:00 AM,08/13/21,54.27106423
04:00:00 AM,08/13/21,54.21898371
05:00:00 AM,08/13/21,55.00135188
06:00:00 AM,08/13/21,53.77337485
07:00:00 AM,08/13/21,57.05119126
08:00:00 AM,08/13/21,61.27730816
09:00:00 AM,08/13/21,61.09757661
10:00:00 AM,08/13/21,56.99619517
11:00:00 AM,08/13/21,55.64340606
12:00:00 PM,08/13/21,52.84664624
01:00:00 PM,08/13/21,51.87021881
02:00:00 PM,08/13/21,51.6551034
03:00:00 PM,08/13/21,51.10355873
04:00:00 PM,08/13/21,51.4901535
05:00:00 PM,08/13/21,52.35421716
06:00:00 PM,08/13/21,58.33164443
07:00:00 PM,08/13/21,52.78576038
08:00:00 PM,08/13/21,53.04881207
09:00:00 PM,08/13/21,52.6715987
10:00:00 PM,08/13/21,53.01251703
11:00:00 PM,08/13/21,52.91614659
12:00:00 AM,08/14/21,52.47879461
01:00:00 AM,08/14/21,52.78486198
02:00:00 AM,08/14/21,53.05868745
03:00:00 AM,08/14/21,53.0599155
04:00:00 AM,08/14/21,53.0489305
05:00:00 AM,08/14/21,53.07728923
06:00:00 AM,08/14/21,52.02001979
07:00:00 AM,08/14/21,57.89660383
08:00:00 AM,08/14/21,55.23146635
09:00:00 AM,08/14/21,53.63550648
10:00:00 AM,08/14/21,51.67389595
11:00:00 AM,08/14/21,51.67973373
12:00:00 PM,08/14/21,50.13880401
01:00:00 PM,08/14/21,50.26843013
02:00:00 PM,08/14/21,52.84748806
03:00:00 PM,08/14/21,50.69296812
04:00:00 PM,08/14/21,50.90622145
05:00:00 PM,08/14/21,51.94030932
06:00:00 PM,08/14/21,50.28885079
07:00:00 PM,08/14/21,49.66207266
08:00:00 PM,08/14/21,50.35154456
09:00:00 PM,08/14/21,49.45625954
10:00:00 PM,08/14/21,48.94781742
11:00:00 PM,08/14/21,48.54812224
12:00:00 AM,08/15/21,48.1527178
01:00:00 AM,08/15/21,48.35544787
02:00:00 AM,08/15/21,48.66585961
03:00:00 AM,08/15/21,48.70791898
04:00:00 AM,08/15/21,49.33347426
05:00:00 AM,08/15/21,49.14039413
06:00:00 AM,08/15/21,48.8107806
07:00:00 AM,08/15/21,50.47265375
08:00:00 AM,08/15/21,58.41725965
09:00:00 AM,08/15/21,59.60519423
10:00:00 AM,08/15/21,59.31734154
11:00:00 AM,08/15/21,55.61752304
12:00:00 PM,08/15/21,55.12836167
01:00:00 PM,08/15/21,55.21599873
02:00:00 PM,08/15/21,54.9925262
03:00:00 PM,08/15/21,54.65140896
